Date Created,Number of Likes,Source of Tweet,Tweets
2023-06-30 07:42:25+00:00,0,,"I am interested in selling my Domain Name https://t.co/n2BJajqG2B, My Expected Price is 13 Million US$
#aschwags3
#rtenbrink1
#StephNass
#alexfmac
#ry_paddy
#danmurrayserter
#b_nicks11
#aymanalabdul
#gdibner
#marshawright
#WarrenWhitlock
#naukri
#indeed
#deepigoyal
#Adipurush
#Xy https://t.co/gwjy8HsSgV"
2023-06-30 07:42:03+00:00,0,,"#SatyaPremKiKatha #Adipurush #AdipurushDisaster #KartikAryan 
Adipurush day 14 collection takes a dive, will Sat... https://t.co/xrM7FJEpZJ"
2023-06-30 07:41:44+00:00,0,,"@niiravmodi TMKC, kisko ullu bana raha hai bey bsdk? Pata nahi ish chu7iye fake dr. ko kaun follow kar rah hai.  I know ur game plan. Tera #Adipurush tweet dekh k pata chal gaya mere ko."
2023-06-30 07:41:42+00:00,4,,"अह्मस्मि योध: न कदापि खण्डित: ... ॐ

@PrabhasRaju
#Adipurush
#Salaar
#Projectk 
#SalaarTeaser https://t.co/ZdNR9rmGoe"
2023-06-30 07:40:13+00:00,1,,"#Adipurush USA🇺🇸

2 Weeks done✅✅

Entered 3rd week👍

Total Gross Collection = $3.14M🔥🔥🔥"
2023-06-30 07:38:52+00:00,41,,"2 wks (14days)
#Adipurush

Gajuwaka.. With inoxs
1,36 cr Gross

Vzm... With inoxs
1.21 cr Gross

Sklm.. With 3D
1.04 cr Gross"
2023-06-30 07:38:41+00:00,10,,"@swati_gs I would sum up #Adipurush in just a couple of lines. The film was made sans any 'bhaktibhaav'. They wanted to make a superhero film like Avengers. They picked a readymade script 'Ramayan', added nonsense dialogues n funny costumes thinking that using Lord Ram is a guaranteed hit."
2023-06-30 07:38:35+00:00,0,,"#Adipurush (2023) Tamil
#Kulasami (2023) Tamil
#Mail (2023) Tamil
#NinnuChereTharunam (2023) Tamil
#SiruvanSamuel (2023) Tamil

#HDOUT  #Aha https://t.co/xZTLEOT2I3"
2023-06-30 07:38:13+00:00,1,,@swati_gs @JaipurDialogues But actor #Bahubali #Prabhas @PrabhasRaju bears no accountability for this fiasco. Neither has he apologized for essaying Lord Rama so badly in #Adipurush. He continues to ride high on popularity demanding ₹150 CR for next movie series. https://t.co/c3P6q3KzMm
2023-06-30 07:37:41+00:00,1,,"Adipurush 14 days Nijam Telugu &amp; Hindi gross &amp; share including GST

#Adipurush : 59.16 Cr Gross

#Adipurush : 39.04 Cr Share

#Prabhas 🏹❤️
#BlockBusterAdipurush 💥🔥 https://t.co/TC4VOnMd78"
2023-06-30 07:34:01+00:00,0,,#Prabhas𓃵 #Salaar #Adipurush https://t.co/WtJXzq7w1p
2023-06-30 07:33:48+00:00,0,,"#Adipurush Teaser Vs Movie shots Comparison.

Look at #Hanuman ji, Body muscles se le kar dhoti &amp; leather chappal were changed, somehow the chappals disappears &amp; magically re-appeared in some of the scenes.
@badal_bnftv @pjexplained @comicverseyt @TheSuperheroPro @iamDesiNerd https://t.co/v4W6bWNyAO"
2023-06-30 07:32:54+00:00,0,,"The Countdown Begins 🎉
@bonthurammohan

@ktrtrs
@BRSparty

#happybirthdaybrm
#BRMArmy #Uppal #BRM
#happybirthday #BRMForUppal #leader #kcr #ktr #brsparty #viral #maheshbabu #prabhas #jaishreeram #jaishriram #adipurush #time #viralvideos https://t.co/X7PK8CnU3Z"
2023-06-30 07:30:52+00:00,0,,"In Indian express op-ed on #Adipurush one intellectual asking ""How do we interpret and ascertain the limits of a community tolerance?"".

Simple comrade! No need to ask rhetorical questions. Just go ahead and draw something."
2023-06-30 07:29:14+00:00,31,,"आदिपुरुष' को भयानक निगेटिव वर्ड ऑफ़ माउथ का खामियाजा भुगतना पड़ा है.

#Adipurush #Adipurushcollection @PrabhasRaju @omraut 

https://t.co/i1W309t6PS"
2023-06-30 07:27:12+00:00,0,,@manojmuntashir #Adipurush had unpalatable dialogues and has mocked Hindus' biggest symbol and Lord Hanuman. Disappointing.
2023-06-30 07:25:31+00:00,5,,"रिलीज के 13 दिन बाद टूटी 'कुंभकर्ण' की नींद, आदिपुरुष के डायलॉग्स पर जताई नाराजगी 

#DNACartoon #Adipurush #Adipurushcontroversy 

यहां क्लिक कर पढ़ें खबर-
  https://t.co/9CkzIKvlIo https://t.co/DgnuL7PA2h"
2023-06-30 07:25:12+00:00,0,,"Forget #Adipurush. If you want to see the beauty of #Ramayana again, watch #SiyaKeRam on @DisneyPlusHS. You will be mesmerised by @ashish30sharma in the role of Lord Ram. 🙏🏻❤️ https://t.co/wsfsR1hbIA"
2023-06-30 07:24:43+00:00,2,,"Top 6 Biggest Bollywood Openers of 2023

1)#Adipurush: ₹ 86.75 Cr
2)#Pathaan: ₹ 57 Cr
3)#KisiKaBhaiKisiKiJaan: ₹ 15.81 Cr
4)#TuJhoothiMainMakkaar: ₹ 15.73 Cr
5)#Bholaa: ₹ 11.20 Cr
6)#SatyapremKiKatha: ₹ 9.25 Cr https://t.co/B0dm1nYOog"
2023-06-30 07:20:51+00:00,0,,@Harmindarboxoff Movie ka naam #Adipurush nahi Paadipurush hona chayiye tha
2023-06-30 07:20:36+00:00,0,,🎥 #Adipurush 🤫 https://t.co/nujrvta65w
2023-06-30 07:16:31+00:00,0,,"can someone fu€king please give him his own blockbuster film? any of the CMs in #Adipurush credits? @CMOMaharashtra? @myogiadityanath? @Dev_Fadnavis come on you could even get your wife singing jobs you can surely help Fodi?

Or have y'all already trapped him in his Truman Show?"
2023-06-30 07:14:52+00:00,9,,"Me after hearing this 🥵 :
#Prabhas #Adipurush #ProjectK #Salaar https://t.co/pwHrJKd2L8"
2023-06-30 07:13:50+00:00,6,,"My GOD in my Life  #Prabhas 👑
#Salaar
#Adipurush
#Bahubali https://t.co/qtr3uZk0eD"
2023-06-30 07:12:28+00:00,947,,"Appatlo #Adipurush Postpone Awuddi Anukoni Darling Special Show Veddam Anukunnam But Adipurush On Time Ravadam Tho Delay Ayyindi Next #Salaar Vasthundi 🏌️

So Oct23rd Ki Plan Cheddam Em Antaru Bangalore Rebels? 

#Prabhas #Darling ♥️

https://t.co/b6UdWiP5tu"
2023-06-30 07:12:14+00:00,1,,#Adipurush #Prabhas ❤️ https://t.co/X7PHH3lIr0
2023-06-30 07:11:53+00:00,4,,"""AMBA"" ""ASS"" ador 🔥 perfect title for pan milk way ⭐ #Prabhas #Adipurush #ProjectK #Salaar. https://t.co/lMmiEndFZ3"
2023-06-30 07:11:52+00:00,0,,Appude #Adipurush HD entra 🤧
2023-06-30 07:11:06+00:00,9,,"#SatyaPremKiKatha is the 6th highest opener of 2023, here's the list-

1. #Pathaan - 55.00 Crs
2. #Adipurush - 37.25 Crs
3. #KBKJ - 15.81 Crs
4. #TJMM - 15.73 Crs
5. #Bholaa - 11.20 Crs
6. #SPKK - 9.25 Crs
7. #TheKeralaStory - 8.03 Crs
8. #Shehzada - 6.00 Crs
9. #ZHZB - 5.49 Crs https://t.co/mE3RTYY8sX"
2023-06-30 07:09:38+00:00,3,,"This Song from sriramadasu are actually his various names . 👌
Wow sir  @iamnagarjuna  @mmkeeravaani  #Raghavendrarao gaaru  .
Thanks to these legends for giving us such awesome movies .
#Prabhas  
#Adipurush https://t.co/yuuzF5IP1X"
2023-06-30 07:09:38+00:00,0,,Showtime: #Adipurush https://t.co/zTqv0RcMVj
2023-06-30 07:09:14+00:00,0,,#Adipurush Tamil HD Leaked 🤦🏻‍♂️ https://t.co/OGZE8pSkKj
2023-06-30 07:08:12+00:00,3,,"Bhimavaram Town 30/6/2023 Noon Shows
#Adipurush  16,790 (2 Theatres)
#Samajavaragamana  25,060 (2 Theatres)
#Spy  46,595 (2 Theatres)
#EeNagaranikiEmaindi
 4,800 Kishore S1"
2023-06-30 07:07:20+00:00,5,,"#Adipurush ಚಿತ್ರದ ರಾವಣ ಲಂಕಾದವನಾ? ಅಥವಾ ಪಾಕಿಸ್ಥಾನದವನಾ ?
#justasking"
2023-06-30 07:06:49+00:00,0,,"@manojmuntashir के अहंकार को बहुत पहले ही हमने पहचान लिया था,वैसे हांडी के चावल के एक दाने से पता चल जाता है कि पके हैं कि नहीं
अंदाजा इस बात से लगाइए कि शुक्ला हटा कर मुंतशिर पहले लिखा है
#आदिपुरूष
#Aadipurush
#Adipurush
#RamayanaAnimeInCinema
@kamalagney
@ranaashutosh10 https://t.co/Bu5RIgu1uB"
2023-06-30 07:05:05+00:00,2,,#Ukraine #สนามบินดอนเมือง #2023BTSFESTAatYeouido #Adipurush #Airdrop
2023-06-30 07:04:36+00:00,1,,"Abhi #Adipurush ka ghaav bhara nahi hai, achcha hai Bhushan #Animal ko postpone kar raha hain🙂"
2023-06-30 07:04:31+00:00,0,,"@T2BLive oka doubt #Adipurush share meeru 3D charges in gross tho chesthunara ledha 3D charges minus chesi chesthunara? Endukante, grosses lo chala difference undhi trackers to trackers. Share looks almost similar"
2023-06-30 07:04:00+00:00,1,,"@T2BLive oka doubt #Adipurush share meeru 3D charges in gross tho chesthunara ledha 3D charges minus chesi chesthunara?
Endukante, grosses lo chala difference undhi trackers to trackers.
Share looks almost similar"
2023-06-30 07:02:40+00:00,0,,#Adipurush hd out🤧 try panalam own risk eduthu... 💀
2023-06-30 07:02:07+00:00,0,,"#Adipurush Day 1⃣4⃣ Box Office Collection!! 

Day 14: ₹ 1.25 Cr  

Total:  ₹ 282.33 Cr (India Net) 
Worldwide: ₹ 386.76 Cr

#Prabhas 💫
https://t.co/EGCbTQgpoF"
2023-06-30 06:59:36+00:00,1846,,"#Adipurush might well be the biggest Bollywood debacle of all times. It has faced severe public criticism, protests from Hindu organisations, disapproval of own cast, condemnation from the team behind the superhit Ramayan serial, threats of theatre boycotts, petitions to halt its screening and scathing comments from Allahabad high court

So what really went so wrong? A variety of reasons ranging from the makers dismissing audience feedback, disregarding Hindu sentiments, displaying arrogance when humility was needed, leaving a minor player to do all the fire-fighting, assuming political endorsement will shape public opinion and so on

For years, the industry has interacted with a select group from the public and, that too, only from their balconies where they wave their hands or throw a flying kiss. This arrogance, despite a track record of poor quality plagiarised products, worked till new realisations dawned on the public in recent years. Now the tide has changed."
2023-06-30 06:59:22+00:00,0,,#Adipurush HD vachinda
2023-06-30 06:59:18+00:00,0,,@Sukhwindermusic vocals add lot of freshness to this song #huppahuiya #Adipurush
2023-06-30 06:57:53+00:00,2,,BREAKING NEWS #Adipurush #adipurushcontroversy #Adipurushcollection #Adipurushmovie #INDIA #NEWS #Trending https://t.co/ZRrmZVegpW
2023-06-30 06:57:27+00:00,1,,"#Adipurush #KGF2 Teaser 24 Hrs Report 

78M Views 👀 4.2M likes ❤️

What is Our Target 🎯 !!??

#Prabhas #Salaar #SalaarTheSaga https://t.co/s587TfoRTw"
2023-06-30 06:55:59+00:00,1,,"@njohncamm If their God was shown like they have distorted Hindu God Ram in #Adipurush we would have witnessed Bloodshed, arson, looting, massacre, rape etc etc. In short India would have been reduced to ashes &amp; all progress made by Modi Government pulled back to square one🥺🥺🥺"
2023-06-30 06:55:48+00:00,1,,#Adipurush https://t.co/44qr8hKeDc
2023-06-30 06:50:43+00:00,0,,@rajmohan2blue Waiting For Ur Review on #Adipurush 🤟🏻🤟🏻🤟🏻 !
